journal_id,journal_date,account_number,department_number,journal_entry_type,journal_debit,journal_credit,journal_description,journal_reference,journal_batch_row_id,gl_post_reference,journal_entity,journal_currency
,2019-12-01,6070,500,99,699.32,0,mike transaction load,test load – MIKE,33,,1,1
,2019-12-01,6070,500,99,51.22,0,mike transaction load,test load – MIKE,33,,1,1
,2019-12-05,6070,500,99,1001.66,0,mike transaction load,test load – MIKE,33,,1,1
,2019-12-01,2100,500,99,0,699.32,mike transaction load,test load – MIKE,33,,1,1
,2019-12-01,2100,500,99,0,51.22,mike transaction load,test load – MIKE,33,,1,1
,2019-12-05,2100,500,99,0,1001.66,mike transaction load,test load – MIKE,33,,1,1
,2019-12-01,2100,500,99,4.33,0,mike transaction load – PAID,test load – MIKE,33,,1,1
,2019-12-01,2100,500,99,3.29,0,mike transaction load – PAID,test load – MIKE,33,,1,1
,2019-12-05,2100,500,99,29.99,0,mike transaction load – PAID,test load – MIKE,33,,1,1
,2019-12-01,2100,500,99,0,4.33,mike transaction load – PAID,test load – MIKE,33,,1,1
,2019-12-01,2100,500,99,0,3.29,mike transaction load – PAID,test load – MIKE,33,,1,1
,2019-12-05,2100,500,99,0,29.99,mike transaction load – PAID,test load – MIKE,33,,1,1
